Tamanho amostral,kind,Medidas,Valores,data_set,species,type
1,sepal_length,Média,5.1,iris,setosa,central
1,sepal_length,Mediana,5.1,iris,setosa,central
1,sepal_length,Desvio Padrão,0.0,iris,setosa,dispersao
1,sepal_length,IC (90%),0.0,iris,setosa,dispersao
1,sepal_length,IC (95%),0.0,iris,setosa,dispersao
1,sepal_length,IC (99%),0.0,iris,setosa,dispersao
1,sepal_length,CV (%),0.0,iris,setosa,cv
2,sepal_length,Média,5.0,iris,setosa,central
2,sepal_length,Mediana,5.0,iris,setosa,central
2,sepal_length,Desvio Padrão,0.141421356237309,iris,setosa,dispersao
2,sepal_length,IC (90%),0.6313751514800909,iris,setosa,dispersao
2,sepal_length,IC (95%),1.270620473643205,iris,setosa,dispersao
2,sepal_length,IC (99%),6.3656741162873764,iris,setosa,dispersao
2,sepal_length,CV (%),2.82842712474618,iris,setosa,cv
3,sepal_length,Média,4.8999999999999995,iris,setosa,central
3,sepal_length,Mediana,4.9,iris,setosa,central
3,sepal_length,Desvio Padrão,0.19999999999999973,iris,setosa,dispersao
3,sepal_length,IC (90%),0.33717089216961615,iris,setosa,dispersao
3,sepal_length,IC (95%),0.4968275423687499,iris,setosa,dispersao
3,sepal_length,IC (99%),1.1460221787429736,iris,setosa,dispersao
3,sepal_length,CV (%),4.081632653061219,iris,setosa,cv
4,sepal_length,Média,4.824999999999999,iris,setosa,central
4,sepal_length,Mediana,4.800000000000001,iris,setosa,central
4,sepal_length,Desvio Padrão,0.22173557826083448,iris,setosa,dispersao
4,sepal_length,IC (90%),0.2609122010368433,iris,setosa,dispersao
4,sepal_length,IC (95%),0.3528307858931311,iris,setosa,dispersao
4,sepal_length,IC (99%),0.6475687005752889,iris,setosa,dispersao
4,sepal_length,CV (%),4.595556026131286,iris,setosa,cv
5,sepal_length,Média,4.859999999999999,iris,setosa,central
5,sepal_length,Mediana,4.9,iris,setosa,central
5,sepal_length,Desvio Padrão,0.2073644135332772,iris,setosa,dispersao
5,sepal_length,IC (90%),0.197699337409632,iris,setosa,dispersao
5,sepal_length,IC (95%),0.2574769267929082,iris,setosa,dispersao
5,sepal_length,IC (99%),0.4269661935457937,iris,setosa,dispersao
5,sepal_length,CV (%),4.266757480108585,iris,setosa,cv
6,sepal_length,Média,4.949999999999999,iris,setosa,central
6,sepal_length,Mediana,4.95,iris,setosa,central
6,sepal_length,Desvio Padrão,0.2880972058177588,iris,setosa,dispersao
6,sepal_length,IC (90%),0.23700030076222814,iris,setosa,dispersao
6,sepal_length,IC (95%),0.30233947565468244,iris,setosa,dispersao
6,sepal_length,IC (99%),0.4742412702250019,iris,setosa,dispersao
6,sepal_length,CV (%),5.820145572075936,iris,setosa,cv
7,sepal_length,Média,4.8999999999999995,iris,setosa,central
7,sepal_length,Mediana,4.9,iris,setosa,central
7,sepal_length,Desvio Padrão,0.2943920288775951,iris,setosa,dispersao
7,sepal_length,IC (90%),0.2162171413569412,iris,setosa,dispersao
7,sepal_length,IC (95%),0.2722672159843159,iris,setosa,dispersao
7,sepal_length,IC (99%),0.4125245077082915,iris,setosa,dispersao
7,sepal_length,CV (%),6.008000589338676,iris,setosa,cv
8,sepal_length,Média,4.9125,iris,setosa,central
8,sepal_length,Mediana,4.95,iris,setosa,central
8,sepal_length,Desvio Padrão,0.27483761439387144,iris,setosa,dispersao
8,sepal_length,IC (90%),0.18409576811827638,iris,setosa,dispersao
8,sepal_length,IC (95%),0.2297699956274757,iris,setosa,dispersao
8,sepal_length,IC (99%),0.3400439886324869,iris,setosa,dispersao
8,sepal_length,CV (%),5.594658817178045,iris,setosa,cv
9,sepal_length,Média,4.855555555555555,iris,setosa,central
9,sepal_length,Mediana,4.9,iris,setosa,central
9,sepal_length,Desvio Padrão,0.308670986290869,iris,setosa,dispersao
9,sepal_length,IC (90%),0.19132950893247522,iris,setosa,dispersao
9,sepal_length,IC (95%),0.23726552358385755,iris,setosa,dispersao
9,sepal_length,IC (99%),0.34523690565018866,iris,setosa,dispersao
9,sepal_length,CV (%),6.357068367546501,iris,setosa,cv
10,sepal_length,Média,4.859999999999999,iris,setosa,central
10,sepal_length,Mediana,4.9,iris,setosa,central
10,sepal_length,Desvio Padrão,0.29135697844549546,iris,setosa,dispersao
10,sepal_length,IC (90%),0.16889416509329713,iris,setosa,dispersao
10,sepal_length,IC (95%),0.20842422662845989,iris,setosa,dispersao
10,sepal_length,IC (99%),0.29942413864400325,iris,setosa,dispersao
10,sepal_length,CV (%),5.994999556491677,iris,setosa,cv
11,sepal_length,Média,4.909090909090908,iris,setosa,central
11,sepal_length,Mediana,4.9,iris,setosa,central
11,sepal_length,Desvio Padrão,0.320794468326826,iris,setosa,dispersao
11,sepal_length,IC (90%),0.1753069879794293,iris,setosa,dispersao
11,sepal_length,IC (95%),0.21551265625613433,iris,setosa,dispersao
11,sepal_length,IC (99%),0.3065421036488333,iris,setosa,dispersao
11,sepal_length,CV (%),6.534702132583494,iris,setosa,cv
12,sepal_length,Média,4.8999999999999995,iris,setosa,central
12,sepal_length,Mediana,4.9,iris,setosa,central
12,sepal_length,Desvio Padrão,0.30748244591432305,iris,setosa,dispersao
12,sepal_length,IC (90%),0.15940729169789258,iris,setosa,dispersao
12,sepal_length,IC (95%),0.1953650255194724,iris,setosa,dispersao
12,sepal_length,IC (99%),0.27567926386705705,iris,setosa,dispersao
12,sepal_length,CV (%),6.275151957435165,iris,setosa,cv
13,sepal_length,Média,4.892307692307691,iris,setosa,central
13,sepal_length,Mediana,4.9,iris,setosa,central
13,sepal_length,Desvio Padrão,0.2956956161932359,iris,setosa,dispersao
13,sepal_length,IC (90%),0.1461675557320688,iris,setosa,dispersao
13,sepal_length,IC (95%),0.17868707252100954,iris,setosa,dispersao
13,sepal_length,IC (99%),0.2505064820201931,iris,setosa,dispersao
13,sepal_length,CV (%),6.044092783824007,iris,setosa,cv
14,sepal_length,Média,4.85,iris,setosa,central
14,sepal_length,Mediana,4.85,iris,setosa,central
14,sepal_length,Desvio Padrão,0.32522181779399556,iris,setosa,dispersao
14,sepal_length,IC (90%),0.15392809086977938,iris,setosa,dispersao
14,sepal_length,IC (95%),0.18777748706842548,iris,setosa,dispersao
14,sepal_length,IC (99%),0.26182456663765613,iris,setosa,dispersao
14,sepal_length,CV (%),6.705604490597846,iris,setosa,cv
15,sepal_length,Média,4.913333333333332,iris,setosa,central
15,sepal_length,Mediana,4.9,iris,setosa,central
15,sepal_length,Desvio Padrão,0.39797104465143246,iris,setosa,dispersao
15,sepal_length,IC (90%),0.18098462400461263,iris,setosa,dispersao
15,sepal_length,IC (95%),0.22038901860516105,iris,setosa,dispersao
15,sepal_length,IC (99%),0.30588750499481115,iris,setosa,dispersao
15,sepal_length,CV (%),8.099817733746931,iris,setosa,cv
16,sepal_length,Média,4.9624999999999995,iris,setosa,central
16,sepal_length,Mediana,4.9,iris,setosa,central
16,sepal_length,Desvio Padrão,0.4318564576337837,iris,setosa,dispersao
16,sepal_length,IC (90%),0.1892665291657578,iris,setosa,dispersao
16,sepal_length,IC (95%),0.23012006259259682,iris,setosa,dispersao
16,sepal_length,IC (99%),0.3181392468656118,iris,setosa,dispersao
16,sepal_length,CV (%),8.70239713115937,iris,setosa,cv
17,sepal_length,Média,4.988235294117647,iris,setosa,central
17,sepal_length,Mediana,4.9,iris,setosa,central
17,sepal_length,Desvio Padrão,0.43139650111755734,iris,setosa,dispersao
17,sepal_length,IC (90%),0.1826700981474371,iris,setosa,dispersao
17,sepal_length,IC (95%),0.2218036140288095,iris,setosa,dispersao
17,sepal_length,IC (99%),0.3055985188886582,iris,setosa,dispersao
17,sepal_length,CV (%),8.648278913913297,iris,setosa,cv
18,sepal_length,Média,4.994444444444444,iris,setosa,central
18,sepal_length,Mediana,4.95,iris,setosa,central
18,sepal_length,Desvio Padrão,0.4193443372726219,iris,setosa,dispersao
18,sepal_length,IC (90%),0.17194343887657018,iris,setosa,dispersao
18,sepal_length,IC (95%),0.20853503289590122,iris,setosa,dispersao
18,sepal_length,IC (99%),0.28646228755815833,iris,setosa,dispersao
18,sepal_length,CV (%),8.396215874201552,iris,setosa,cv
19,sepal_length,Média,5.031578947368421,iris,setosa,central
19,sepal_length,Mediana,5.0,iris,setosa,central
19,sepal_length,Desvio Padrão,0.4384982346080609,iris,setosa,dispersao
19,sepal_length,IC (90%),0.17444401442861324,iris,setosa,dispersao
19,sepal_length,IC (95%),0.21134938378417814,iris,setosa,dispersao
19,sepal_length,IC (99%),0.2895664896245653,iris,setosa,dispersao
19,sepal_length,CV (%),8.714923072754349,iris,setosa,cv
20,sepal_length,Média,5.034999999999999,iris,setosa,central
20,sepal_length,Mediana,5.0,iris,setosa,central
20,sepal_length,Desvio Padrão,0.4270769682880421,iris,setosa,dispersao
20,sepal_length,IC (90%),0.16512753779015946,iris,setosa,dispersao
20,sepal_length,IC (95%),0.1998781738089425,iris,setosa,dispersao
20,sepal_length,IC (99%),0.2732115683618762,iris,setosa,dispersao
20,sepal_length,CV (%),8.482164216247114,iris,setosa,cv
21,sepal_length,Média,5.052380952380952,iris,setosa,central
21,sepal_length,Mediana,5.0,iris,setosa,central
21,sepal_length,Desvio Padrão,0.42381487423053915,iris,setosa,dispersao
21,sepal_length,IC (90%),0.15950882077325582,iris,setosa,dispersao
21,sepal_length,IC (95%),0.1929182178104734,iris,setosa,dispersao
21,sepal_length,IC (99%),0.26314836273617515,iris,setosa,dispersao
21,sepal_length,CV (%),8.38841881134903,iris,setosa,cv
22,sepal_length,Média,5.054545454545454,iris,setosa,central
22,sepal_length,Mediana,5.05,iris,setosa,central
22,sepal_length,Desvio Padrão,0.41372555053903937,iris,setosa,dispersao
22,sepal_length,IC (90%),0.15178085296830673,iris,setosa,dispersao
22,sepal_length,IC (95%),0.1834356327616786,iris,setosa,dispersao
22,sepal_length,IC (99%),0.24974455397931056,iris,setosa,dispersao
22,sepal_length,CV (%),8.185217726491787,iris,setosa,cv
23,sepal_length,Média,5.034782608695651,iris,setosa,central
23,sepal_length,Mediana,5.0,iris,setosa,central
23,sepal_length,Desvio Padrão,0.4151765184857838,iris,setosa,dispersao
23,sepal_length,IC (90%),0.14865368385588956,iris,setosa,dispersao
23,sepal_length,IC (95%),0.17953578976416348,iris,setosa,dispersao
23,sepal_length,IC (99%),0.2440205253271141,iris,setosa,dispersao
23,sepal_length,CV (%),8.24616573849139,iris,setosa,cv
24,sepal_length,Média,5.0375,iris,setosa,central
24,sepal_length,Mediana,5.05,iris,setosa,central
24,sepal_length,Desvio Padrão,0.40626881227345896,iris,setosa,dispersao
24,sepal_length,IC (90%),0.14213012159339453,iris,setosa,dispersao
24,sepal_length,IC (95%),0.1715522738687761,iris,setosa,dispersao
24,sepal_length,IC (99%),0.23281031024061877,iris,setosa,dispersao
24,sepal_length,CV (%),8.06488957366668,iris,setosa,cv
25,sepal_length,Média,5.028,iris,setosa,central
25,sepal_length,Mediana,5.0,iris,setosa,central
25,sepal_length,Desvio Padrão,0.4005413004090008,iris,setosa,dispersao
25,sepal_length,IC (90%),0.13705578662667564,iris,setosa,dispersao
25,sepal_length,IC (95%),0.16533532275735074,iris,setosa,dispersao
25,sepal_length,IC (99%),0.22405795728140113,iris,setosa,dispersao
25,sepal_length,CV (%),7.966215203042977,iris,setosa,cv
26,sepal_length,Média,5.026923076923077,iris,setosa,central
26,sepal_length,Mediana,5.0,iris,setosa,central
26,sepal_length,Desvio Padrão,0.3924871384467954,iris,setosa,dispersao
26,sepal_length,IC (90%),0.13148082247202583,iris,setosa,dispersao
26,sepal_length,IC (95%),0.15852898600135662,iris,setosa,dispersao
26,sepal_length,IC (99%),0.2145574660377973,iris,setosa,dispersao
26,sepal_length,CV (%),7.807701300395318,iris,setosa,cv
27,sepal_length,Média,5.025925925925925,iris,setosa,central
27,sepal_length,Mediana,5.0,iris,setosa,central
27,sepal_length,Desvio Padrão,0.3849001794597506,iris,setosa,dispersao
27,sepal_length,IC (90%),0.1263420681303165,iris,setosa,dispersao
27,sepal_length,IC (95%),0.15226143989947194,iris,setosa,dispersao
27,sepal_length,IC (99%),0.20583070617251212,iris,setosa,dispersao
27,sepal_length,CV (%),7.658293917032621,iris,setosa,cv
28,sepal_length,Média,5.032142857142857,iris,setosa,central
28,sepal_length,Mediana,5.0,iris,setosa,central
28,sepal_length,Desvio Padrão,0.3791350501383199,iris,setosa,dispersao
28,sepal_length,IC (90%),0.12204025895559956,iris,setosa,dispersao
28,sepal_length,IC (95%),0.14701322503135586,iris,setosa,dispersao
28,sepal_length,IC (99%),0.19851885123757762,iris,setosa,dispersao
28,sepal_length,CV (%),7.534266432840992,iris,setosa,cv
