species,size,Média,Mediana,Moda,Std,IC (90%),IC (95%),IC (99%),CV (%),Normalidade,kind,data_set
setosa,1,5.1,5.1,5.1,-,-,-,-,-,-,sepal_length,iris
setosa,2,5.0,5.0,None ,0.141,0.631,1.271,6.366,2.83,-,sepal_length,iris
setosa,3,4.9,4.9,None ,0.2,0.337,0.497,1.146,4.08,Sim,sepal_length,iris
setosa,4,4.825,4.8,None ,0.222,0.261,0.353,0.648,4.6,Sim,sepal_length,iris
setosa,5,4.86,4.9,None ,0.207,0.198,0.257,0.427,4.27,Sim,sepal_length,iris
setosa,6,4.95,4.95,None ,0.288,0.237,0.302,0.474,5.82,Sim,sepal_length,iris
setosa,7,4.9,4.9,4.6 ,0.294,0.216,0.272,0.413,6.01,Sim,sepal_length,iris
setosa,8,4.912,4.95,4.6 & 5.0 ,0.275,0.184,0.23,0.34,5.59,Sim,sepal_length,iris
setosa,9,4.856,4.9,4.6 & 5.0 ,0.309,0.191,0.237,0.345,6.36,Sim,sepal_length,iris
setosa,10,4.86,4.9,4.9 & 4.6 & 5.0 ,0.291,0.169,0.208,0.299,5.99,Sim,sepal_length,iris
setosa,11,4.909,4.9,4.9 & 4.6 & 5.0 & 5.4 ,0.321,0.175,0.216,0.307,6.53,Sim,sepal_length,iris
setosa,12,4.9,4.9,4.9 & 4.6 & 5.0 & 5.4 ,0.307,0.159,0.195,0.276,6.28,Sim,sepal_length,iris
setosa,13,4.892,4.9,4.9 & 4.6 & 5.0 & 5.4 & 4.8 ,0.296,0.146,0.179,0.251,6.04,Sim,sepal_length,iris
setosa,14,4.85,4.85,4.9 & 4.6 & 5.0 & 5.4 & 4.8 ,0.325,0.154,0.188,0.262,6.71,Sim,sepal_length,iris
setosa,15,4.913,4.9,4.9 & 4.6 & 5.0 & 5.4 & 4.8 ,0.398,0.181,0.22,0.306,8.1,Sim,sepal_length,iris
setosa,16,4.962,4.9,4.9 & 4.6 & 5.0 & 5.4 & 4.8 ,0.432,0.189,0.23,0.318,8.7,Sim,sepal_length,iris
setosa,17,4.988,4.9,5.4 ,0.431,0.183,0.222,0.306,8.65,Sim,sepal_length,iris
setosa,18,4.994,4.95,5.4 ,0.419,0.172,0.209,0.286,8.4,Sim,sepal_length,iris
setosa,19,5.032,5.0,5.4 ,0.438,0.174,0.211,0.29,8.71,Sim,sepal_length,iris
setosa,20,5.035,5.0,5.1 & 5.4 ,0.427,0.165,0.2,0.273,8.48,Sim,sepal_length,iris
setosa,21,5.052,5.0,5.4 ,0.424,0.16,0.193,0.263,8.39,Sim,sepal_length,iris
setosa,22,5.055,5.05,5.1 & 5.4 ,0.414,0.152,0.183,0.25,8.19,Sim,sepal_length,iris
setosa,23,5.035,5.0,5.1 & 5.4 ,0.415,0.149,0.18,0.244,8.25,Sim,sepal_length,iris
setosa,24,5.038,5.05,5.1 ,0.406,0.142,0.172,0.233,8.06,Sim,sepal_length,iris
setosa,25,5.028,5.0,5.1 ,0.401,0.137,0.165,0.224,7.97,Sim,sepal_length,iris
setosa,26,5.027,5.0,5.1 ,0.392,0.131,0.159,0.215,7.81,Sim,sepal_length,iris
setosa,27,5.026,5.0,5.1 ,0.385,0.126,0.152,0.206,7.66,Sim,sepal_length,iris
setosa,28,5.032,5.0,5.1 ,0.379,0.122,0.147,0.199,7.53,Sim,sepal_length,iris
setosa,29,5.038,5.0,5.1 ,0.374,0.118,0.142,0.192,7.42,Sim,sepal_length,iris
setosa,30,5.027,5.0,5.1 ,0.372,0.115,0.139,0.187,7.41,Sim,sepal_length,iris
setosa,31,5.019,5.0,5.1 ,0.368,0.112,0.135,0.182,7.34,Sim,sepal_length,iris
setosa,32,5.031,5.0,5.1 & 5.4 ,0.368,0.11,0.133,0.179,7.32,Sim,sepal_length,iris
setosa,33,5.036,5.0,5.1 & 5.4 ,0.364,0.107,0.129,0.173,7.22,Sim,sepal_length,iris
setosa,34,5.05,5.05,5.1 & 5.4 ,0.367,0.107,0.128,0.172,7.27,Sim,sepal_length,iris
setosa,35,5.046,5.0,5.1 & 5.4 ,0.362,0.104,0.125,0.167,7.18,Sim,sepal_length,iris
setosa,36,5.044,5.0,5.1 & 5.0 & 5.4 ,0.357,0.101,0.121,0.162,7.08,Sim,sepal_length,iris
setosa,37,5.057,5.0,5.1 & 5.0 & 5.4 ,0.36,0.1,0.12,0.161,7.12,Sim,sepal_length,iris
setosa,38,5.053,5.0,5.1 & 5.0 & 5.4 ,0.356,0.097,0.117,0.157,7.05,Sim,sepal_length,iris
setosa,39,5.036,5.0,5.1 & 5.0 & 5.4 ,0.367,0.099,0.119,0.159,7.28,Sim,sepal_length,iris
setosa,40,5.038,5.0,5.1 ,0.362,0.096,0.116,0.155,7.19,Sim,sepal_length,iris
setosa,41,5.037,5.0,5.1 & 5.0 ,0.358,0.094,0.113,0.151,7.1,Sim,sepal_length,iris
